clinica_id,numero_ordenes,gasto_total,gasto_promedio,tiempo_promedio_fabricacion,porcentaje_urgentes,diversidad_tipos_trabajo,tipo_trabajo_principal,porcentaje_canal_digital,distancia_clinica_laboratorio,antiguedad_meses,retraso_promedio,porcentaje_ordenes_con_reproceso
Clínica 01,55,24331169,442384.89,8.12,12.73,6,Corona,80.0,27.7,10,1.04,27.27
Clínica 02,33,11422719,346143.0,7.36,15.15,5,Corona,78.79,37.7,72,0.97,21.21
Clínica 03,13,12878942,990687.85,16.42,53.85,5,Prótesis total,84.62,44.7,83,2.92,23.08
Clínica 04,34,21714485,638661.32,12.66,29.41,6,Corona,64.71,25.7,25,0.88,8.82
Clínica 05,14,12005352,857525.14,15.34,35.71,4,Prótesis parcial,92.86,22.7,10,1.71,7.14
Clínica 06,12,6577294,548107.83,14.72,50.0,5,Puente,100.0,11.0,82,0.75,8.33
Clínica 07,34,11519929,338821.44,6.82,0.0,6,Corona,88.24,47.8,65,1.29,5.88
Clínica 08,16,15536147,971009.19,15.73,37.5,4,Puente,68.75,50.1,41,2.06,6.25
Clínica 09,4,2338610,584652.5,8.45,50.0,3,Corona,100.0,44.3,43,0.25,25.0
Clínica 10,12,5232033,436002.75,10.3,25.0,5,Carilla,75.0,52.6,77,1.75,50.0
Clínica 11,41,21229918,517802.88,12.52,14.63,6,Prótesis total,75.61,39.2,33,2.02,7.32
Clínica 12,50,19626857,392537.14,7.08,8.0,4,Carilla,78.0,42.1,10,1.14,8.0
Clínica 13,16,8256756,516047.25,8.31,12.5,5,Corona,81.25,12.4,53,0.81,31.25
Clínica 14,9,5869003,652111.44,13.84,22.22,3,Corona,88.89,46.3,30,2.0,44.44
Clínica 15,40,18654016,466350.4,7.98,7.5,5,Carilla,72.5,20.7,59,0.68,15.0
Clínica 16,29,20602992,710448.0,11.8,10.34,6,Puente,79.31,26.8,79,1.21,20.69
Clínica 17,42,10733547,255560.64,6.09,7.14,4,Carilla,71.43,19.8,34,0.86,11.9
Clínica 18,42,20508927,488307.79,9.39,4.76,5,Carilla,85.71,34.5,25,0.74,16.67
Clínica 19,13,8420895,647761.15,12.98,30.77,6,Puente,84.62,39.9,10,1.77,7.69
Clínica 20,42,15972514,380297.95,6.96,7.14,4,Corona,69.05,35.0,70,0.52,14.29
Clínica 21,40,21261078,531526.95,10.32,22.5,6,Corona,85.0,19.8,12,0.6,15.0
Clínica 22,11,6092851,553895.55,11.26,18.18,4,Corona,90.91,13.9,80,1.45,27.27
Clínica 23,14,10483481,748820.07,13.36,42.86,6,Puente,92.86,50.9,61,1.36,14.29
Clínica 24,14,11821146,844367.57,15.52,50.0,5,Puente,71.43,18.8,77,0.86,7.14
Clínica 25,48,14593315,304027.4,7.29,6.25,5,Carilla,87.5,26.9,69,0.52,6.25
Clínica 26,35,9667117,276203.34,6.19,5.71,4,Corona,77.14,6.4,20,0.43,2.86
Clínica 27,32,17457845,545557.66,11.33,18.75,6,Corona,87.5,18.8,19,0.84,6.25
Clínica 28,34,21389096,629091.06,11.66,23.53,6,Corona,79.41,6.1,80,0.5,5.88
Clínica 29,46,16208512,352358.96,7.02,2.17,5,Corona,80.43,21.3,28,0.48,6.52
Clínica 30,15,11702596,780173.07,11.81,53.33,4,Corona,66.67,42.8,67,1.93,26.67
Clínica 31,12,9354380,779531.67,16.2,58.33,3,Puente,100.0,58.5,19,2.0,16.67
Clínica 32,12,7957502,663125.17,11.46,16.67,3,Corona,91.67,37.9,29,2.0,16.67
Clínica 33,35,17344551,495558.6,10.77,11.43,6,Carilla,80.0,16.9,58,1.11,11.43
